pathway,ES,NES,size,padj
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.5558042811475469,-1.8999521155279175,202,6.101057923443926e-4
HALLMARK_MTORC1_SIGNALING,-0.5328248118936374,-1.817765200143451,198,6.118078923218109e-4
HALLMARK_XENOBIOTIC_METABOLISM,-0.5240484939041488,-1.7831212128100369,193,6.143185364475188e-4
HALLMARK_GLYCOLYSIS,-0.5340859816910469,-1.8156573403877931,191,6.153543210180421e-4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.534809449775615,-1.8144898844727029,187,6.17093489663684e-4
HALLMARK_G2M_CHECKPOINT,-0.7153873581884223,-2.4204874454597145,182,6.19739957113995e-4
HALLMARK_E2F_TARGETS,-0.6878855521990187,-2.3169551277351164,174,6.236202402185165e-4
HALLMARK_FATTY_ACID_METABOLISM,-0.5648154284788158,-1.8832302757632593,157,6.319434789752405e-4
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.6556935921141307,-1.99737693119114,76,6.959329677365476e-4
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.5241591781607496,-1.741314462788911,152,0.0044440494178295264
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.47879493357395253,-1.6310350076616213,195,0.009199857708867436
HALLMARK_COAGULATION,-0.5429638251785934,-1.750486063323493,117,0.01051110235185915
HALLMARK_MYC_TARGETS_V1,-0.47528037808013857,-1.6204391789254,197,0.011637735664147199
HALLMARK_MYOGENESIS,-0.4647412915330931,-1.5804924181248499,192,0.035661583866207575
HALLMARK_MITOTIC_SPINDLE,-0.4478669306571273,-1.5288607155616902,199,0.08799374266718811
HALLMARK_ALLOGRAFT_REJECTION,-0.4895118760161972,-1.5973159573088758,130,0.09460124925485318
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.4463151477603891,-1.5195585468521053,194,0.11170989798799426
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.5482835162988051,-1.6558798013505063,72,0.15774639987660724
HALLMARK_APICAL_JUNCTION,-0.4387467527591931,-1.4937906127639833,194,0.16510968438884865
HALLMARK_MYC_TARGETS_V2,-0.5653257341482407,-1.6473483672709361,57,0.2278444620139438
HALLMARK_UV_RESPONSE_UP,-0.44847601158591016,-1.4923172964413598,154,0.29458346531517265
HALLMARK_ANGIOGENESIS,-0.6389457417336251,-1.6529394640635138,29,0.5071229482812016
HALLMARK_ANDROGEN_RESPONSE,-0.4689607488749018,-1.4756951943557979,96,0.8102132707810942
HALLMARK_COMPLEMENT,-0.4114289154804144,-1.3893007664408787,178,0.9017961394181799
HALLMARK_IL2_STAT5_SIGNALING,-0.4109972325946607,-1.380611704268749,169,1
KEGG_ECM_RECEPTOR_INTERACTION,-0.6871823812152011,-2.073168142490933,71,0.002601798878149086
KEGG_FATTY_ACID_METABOLISM,-0.7538214193461507,-2.0971935083802236,43,0.002766580892742931
KEGG_BETA_ALANINE_METABOLISM,-0.834990432468847,-2.0466749140410174,22,0.0029648048967100228
KEGG_GLUTATHIONE_METABOLISM,-0.7292740079705234,-2.0202476113668744,42,0.005551575931232092
KEGG_CELL_CYCLE,-0.5819499107007104,-1.8605289719917573,109,0.007407899103883173
KEGG_DNA_REPLICATION,-0.7320126884005073,-1.9537830602886102,34,0.014165168915831479
KEGG_PYRIMIDINE_METABOLISM,-0.5835007818047131,-1.81643630121323,89,0.0228317352937165
KEGG_BUTANOATE_METABOLISM,-0.7415952858094917,-1.9318690936305445,30,0.02583732057416268
KEGG_FOCAL_ADHESION,-0.4842321143178533,-1.6425208024278626,186,0.03217078685000556
KEGG_OXIDATIVE_PHOSPHORYLATION,-0.5379139136814719,-1.7518743248350919,127,0.03633948108783995
KEGG_LIMONENE_AND_PINENE_DEGRADATION,-0.8868690091359837,-1.834678246077893,10,0.06037310373103731
KEGG_ARGININE_AND_PROLINE_METABOLISM,-0.6423806344148301,-1.8139647452843677,47,0.11784293502283777
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,-0.725649090692072,-1.8391153968212899,26,0.13407926284612853
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,-0.6535538360471749,-1.8182408023427932,43,0.14662878731537535
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,-0.5324876924112334,-1.6881759850164275,102,0.16436155257132912
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,-0.6866372793024575,-1.8116595323836946,32,0.1996014103939905
KEGG_LYSINE_DEGRADATION,-0.6435065947777658,-1.7902885465079683,43,0.2323927949904062
KEGG_PARKINSONS_DISEASE,-0.5014428288282264,-1.6138357281015638,115,0.3823680569282467
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,-0.6450936850965666,-1.7641142736768902,39,0.3858283103100997
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,-0.6450370046539381,-1.7639592717288177,39,0.3858283103100997
KEGG_GALACTOSE_METABOLISM,-0.7279903547167476,-1.784403196402108,22,0.391354246365723
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,-0.5990096587569319,-1.7146998962607836,51,0.46141049774548004
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,-0.8027639954980964,-1.7643933781462222,13,0.5198815426080591
KEGG_ALZHEIMERS_DISEASE,-0.4562731150002599,-1.515642269768836,151,0.8199037081263735
KEGG_PROPANOATE_METABOLISM,-0.651916072866453,-1.698253126618755,30,0.9703349282296652
KEGG_TRYPTOPHAN_METABOLISM,-0.6200188617299585,-1.6716531431523873,36,1
KEGG_PROTEASOME,0.5602254010573322,1.7268915108830363,41,1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,-0.590227239666572,-1.6486033931416921,44,1
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,-0.8003608982688302,-1.693254600654682,11,1
Cell cycle%WikiPathways_20200210%WP1393%Danio rerio,-0.6996558075314896,-2.112232673392279,71,0.001166369219094729
G1 to S cell cycle control%WikiPathways_20200210%WP445%Danio rerio,-0.7369078214322198,-2.0983568150975613,49,0.001217991048499523
DNA Replication%WikiPathways_20200210%WP451%Danio rerio,-0.8069887299339181,-2.120929862902244,31,0.0012763339996924496
